;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;X;;;;;;;;;;
;;Antecedent attributes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Consequent attribute (Hyperparameter Optimization Method);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;User specific;;;;;;;;;;;;;Production;;;Time Resources;;;;;;;Machine Learning Algorithm;;;;;;;;;;;;;;;;;Machine Learning Task;;;;;;;;;;;;;;;;Model-free, Full evaluation;;;;;Model-based, Full evaluation;;;;;;Model-free, Multi-fidelity;;;Model-based, Multi-fidelity;;;;total n of HPO techniques analyzed;;;;;;;;;
Rule ID;thetas;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: Availability of a well documented library;1;UR: Computer operating system;1;Hardware: Number of workers/kernels for parallel computing;1;;Production application area;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Availability of a warm-start HP configuration;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG;SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;FABOLAS;BOHB;HB-LCNet;;18;;;;;;;;;
;;0,0417;24;0,0313;32;0,0769;13;0,0769;13;0,1429;7;0,0082;122;;0,0175;57;;0,0145;69;0,0286;35;0,0063;159;;0,0085;117;0,0270;37;0,0270;37;0,0078;129;0,0086;116;0,0077;130;1,0000;1;0,1667;6;;;105;0,0114;88;0,0120;83;0,0500;20;0,0083;121;0,0086;116;0,0108;93;;25,89;13,73;7,14;13,08;11,02;2,21;28,52;20,09;23,40;2,66;9,77;3,63;10,57;21,21;9,88;5,49;27,33;4,37;;;;;;;;;;;
1;1;low;0,04167;;;;;;;;;;;;Predictive Quality;0,01754;;;;;;;;;;;;;yes;0,02703;;;;;;;;;;;;;;;;;;;;;;;;;;1;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;Hanno Generic;;;;;;;;
2;1;high;0,04167;;;;;;;;;;;;Predictive Quality;0,01754;;;;;;>86400;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
3;1;high;0,04167;high;0,03125;;;;;;;;;;Predictive Quality;0,01754;;;;;;1.0:86400;0,00629;;;;;;;;;;;;;;;;yes;0,16667;;;;;;;;;;;;;;;;3;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
4;1;high;0,04167;high;0,03125;;;;;;;;;;Predictive Quality;0,01754;;;;;;1.0:86400;0,00629;;;;yes;0,02703;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,33333;0,33333;;;;;;;;;;;
5;1;high;0,04167;medium;0,03125;;;;;;;;;;Predictive Quality;0,01754;;>100;0,01449;;;1.0:86400;0,00629;;;;;;no;0,02703;;;;;[continuous];0,00769;;;;;;;;;;;;;;;;;;;;5;0,00000;0,00000;0,00000;0,50000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
6;1;high;0,04167;medium;0,03125;;;;;;;;;;Predictive Quality;0,01754;;>100;0,01449;;;1.0:86400;0,00629;;;;;;no;0,02703;;;;;[discrete, ordinal, nominal];0,00769;;;;;;;;;;;;;;;;;;;;6;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
